code,name,description,category,price,currentStock,minStock,maxStock,unitKey,unitType,provider,loyaltyPoints,taxes.ieps,taxes.iva,taxes.includesTaxes,profitMargin,purchasePrice,department,imageUrl
1111,Privacy IP 11,Privacy IP 11,,250,4,1,0,,,,0,,,,0,0,,
1112,Privacy IP 11 Pro Max,Privacy IP 11 Pro max,,250,3,1,0,,,,0,,,,0,0,,
113,Privacy IP 12 Pro,Privacy IP 12 pro,,250,3,1,0,,,,0,,,,0,0,,
114,Privacy IP 12 pro max,Privacy IP 12 Pro max,,250,3,1,0,,,,0,,,,0,0,,
115,Privacy IP 13,Privacy IP 13,,250,2,1,0,,,,0,,,,0,0,,
116,Privacy IP 13 Pro,Privacy IP 13 pro,,250,2,1,0,,,,0,,,,0,0,,
117,Privacy IP 13 Pro max,Privacy IP 13 pro max,,250,4,1,0,,,,0,,,,0,0,,
118,Privacy IP 14,Privacy IP 14,,250,1,1,0,,,,0,,,,0,0,,
1119,Privacy IP 14 Pro Max,Privacy IP 14 pro max,,250,2,1,0,,,,0,,,,0,0,,
1120,Privacy IP 15 Pro,Privacy IP 15 Pro,,250,1,1,0,,,,0,,,,0,0,,
1121,Privacy IP 15 Pro Max,Privacy IP 15 Pro Max,,250,3,1,0,,,,0,,,,0,0,,
1122,Privacy IP 16,Privacy IP 16,,250,1,1,0,,,,0,,,,0,0,,
1125,Privacy IP 16  Plus,Privacy IP 16  Plus,,250,1,1,0,,,,0,,,,0,0,,
1124,Privacy IP 16  Pro Max,Privacy IP 16  Pro Max,,250,4,1,0,,,,0,,,,0,0,,
1116,"Privacy Sam, A70","Privacy Sam, A70",,250,4,1,0,,,,0,,,,0,0,,
003,Proctector IP 12,Proctector IP 12,,150,1,1,0,,,,0,,,,0,0,,https://res.cloudinary.com/dwieyox3n/image/upload/v1769560887/posent-products/p6gho3rbddlrh4cwacfb.jpg
004,Proctector IP 12 Pro Max,Proctector IP 12 PRO Max,,150,2,1,0,,,,0,,,,0,0,,https://res.cloudinary.com/dwieyox3n/image/upload/v1769560964/posent-products/muchonhetjg5gkriipx8.jpg
0006,Proctector IP 13 Pro,Proctector IP 13 Pro,,150,2,1,0,,,,0,,,,0,0,,https://res.cloudinary.com/dwieyox3n/image/upload/v1769561277/posent-products/mx4cfovhxdqtqwf6jwgn.jpg
0007,Proctector IP 13 pro max,Proctector IP 13 pro max,,150,2,1,0,,,,0,,,,0,0,,
0010,Proctector IP 14 Pro Max,Proctector IP 14 pro max,,150,1,1,0,,,,0,,,,0,0,,
0008,Proctector IP 14 pro,Proctector IP 14 pro,,150,1,1,0,,,,0,,,,0,0,,
0011,Proctector IP 15,Proctector IP  15,,150,2,1,0,,,,0,,,,0,0,,
009,Proctector IP 15 Pro Max,Proctector IP 15 Pro,,150,2,1,0,,,,0,,,,0,0,,
0012,Proctector IP 16,Proctector IP  16,,150,2,1,0,,,,0,,,,0,0,,
013,Proctector IP 16 Pro Max,Proctector IP 16 Pro Max,,150,5,1,0,,,,0,,,,0,0,,
033,Proctector RM 9A,Proctector RM 9A,,150,4,1,0,,,,0,,,,0,0,,
00345,Proctector RM Note 9s,Proctector RM Note 9s,,150,1,1,0,,,,0,,,,0,0,,
0014,"Proctector S, A70","Proctector S, A70",,150,7,1,0,,,,0,,,,0,0,,
0031,"Proctector Sam, A03 Core","Proctector Sam, A03 Core",,150,2,1,0,,,,0,,,,0,0,,
0030,"Proctector Sam, A11","Proctector Sam, A11",,150,1,1,0,,,,0,,,,0,0,,
0028,"Proctector Sam, A15","Proctector Sam, A15",,150,1,1,0,,,,0,,,,0,0,,
0027,"Proctector Sam, A20","Proctector Sam, A20",,150,4,1,0,,,,0,,,,0,0,,
0036,"Proctector Sam, A21s","Proctector Sam, A21s",,150,1,1,0,,,,0,,,,0,0,,
032,"Proctector Sam, A22 5G","Proctector Sam, A22 5G",,150,1,1,0,,,,0,,,,0,0,,
0025,Proctector SparkGO 2023,Proctector Tecno SparkGo 2023,,150,2,1,0,,,,0,,,,0,0,,
0015,Proctector SparkGO 2024,Proctector Tecno Spark Go 2024,,150,10,1,0,,,,0,,,,0,0,,
0026,Proctector Tecno SparkGo 1,Proctector Tecno SparkGo 1,,150,1,1,0,,,,0,,,,0,0,,
002,Proctetor 11 Pro Max,Proctetor 11 Pro max,,150,2,1,0,,,,0,,,,0,0,,https://res.cloudinary.com/dwieyox3n/image/upload/v1769560659/posent-products/aacxy7awunmolnj8fwzw.jpg
005,Protector IP 13,Proctector IP 13,,150,2,1,0,,,,0,,,,0,0,,https://res.cloudinary.com/dwieyox3n/image/upload/v1769561206/posent-products/iwcnzc5g6bfemjzkqpsa.jpg
001,Protector IP XR,Protector ip xr,,150,3,1,0,,,,0,,,,0,0,,https://res.cloudinary.com/dwieyox3n/image/upload/v1769560500/posent-products/xagxvgwmyf6cnnqpplja.jpg
221,Relog Invita Original,Relog Invita Original,,2500,4,1,0,,,,0,,,,0,0,,
